"REF_DATE","GEO","DGUID","Base year","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","2.07","","","","2"
"2023","Hamilton, Ontario","2011S0503537","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068521","14.5.1","1.86","","","","2"
"2017","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","1.56","","","","2"
"2018","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","1.94","","","","2"
"2019","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.19","","","","2"
"2020","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.09","","","","2"
"2021","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.52","","","","2"
"2022","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.68","","","","2"
"2023","St. Catharines-Niagara, Ontario","2011S0503539","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068522","15.5.1","2.89","","","","2"
"2017","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","1.75","","","","2"
"2018","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","2.17","","","","2"
"2019","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","2.22","","","","2"
"2020","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","2.15","","","","2"
"2021","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","2.56","","","","2"
"2022","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","3.13","","","","2"
"2023","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068523","16.5.1","3.08","","","","2"
"2017","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.60","","","","2"
"2018","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.68","","","","2"
"2019","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.64","","","","2"
"2020","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.68","","","","2"
"2021","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.80","","","","2"
"2022","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.72","","","","2"
"2023","Guelph, Ontario","2011S0503550","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068524","17.5.1","0.70","","","","2"
"2017","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.14","","","","2"
"2018","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.38","","","","2"
"2019","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.80","","","","2"
"2020","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.08","","","","2"
"2021","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","2.33","","","","2"
"2022","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","3.13","","","","2"
"2023","London, Ontario","2011S0503555","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068525","18.5.1","3.54","","","","2"
"2017","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.15","","","","2"
"2018","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.34","","","","2"
"2019","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.35","","","","2"
"2020","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.04","","","","2"
"2021","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.08","","","","2"
"2022","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.30","","","","2"
"2023","Windsor, Ontario","2011S0503559","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068526","19.5.1","1.39","","","","2"
"2017","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.32","","","","2"
"2018","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.30","","","","2"
"2019","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.18","","","","2"
"2020","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.13","","","","2"
"2021","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.14","","","","2"
"2022","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.18","","","","2"
"2023","Greater Sudbury, Ontario","2011S0503580","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068527","20.5.1","0.17","","","","2"
"2017","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.73","","","","2"
"2018","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.72","","","","2"
"2019","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.93","","","","2"
"2020","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.22","","","","2"
"2021","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.35","","","","2"
"2022","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.38","","","","2"
"2023","Winnipeg, Manitoba","2011S0503602","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068528","21.5.1","2.19","","","","2"
"2017","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","1.25","","","","2"
"2018","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","1.02","","","","2"
"2019","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.88","","","","2"
"2020","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.72","","","","2"
"2021","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.57","","","","2"
"2022","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.52","","","","2"
"2023","Regina, Saskatchewan","2011S0503705","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068529","22.5.1","0.50","","","","2"
"2017","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","2.23","","","","2"
"2018","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.83","","","","2"
"2019","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.48","","","","2"
"2020","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.16","","","","2"
"2021","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.02","","","","2"
"2022","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","0.99","","","","2"
"2023","Saskatoon, Saskatchewan","2011S0503725","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068530","23.5.1","1.04","","","","2"
"2017","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","11.56","","","","2"
"2018","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","9.52","","","","2"
"2019","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","8.15","","","","2"
"2020","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","7.83","","","","2"
"2021","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","7.87","","","","2"
"2022","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","8.40","","","","2"
"2023","Calgary, Alberta","2011S0503825","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068531","24.5.1","9.81","","","","2"
"2017","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","13.09","","","","2"
"2018","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","11.69","","","","2"
"2019","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","9.96","","","","2"
"2020","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","7.30","","","","2"
"2021","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","7.53","","","","2"
"2022","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","6.96","","","","2"
"2023","Edmonton, Alberta","2011S0503835","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068532","25.5.1","7.12","","","","2"
"2017","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.54","","","","2"
"2018","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.68","","","","2"
"2019","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.73","","","","2"
"2020","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.88","","","","2"
"2021","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.89","","","","2"
"2022","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","1.91","","","","2"
"2023","Kelowna, British Columbia","2011S0503915","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068533","26.5.1","2.03","","","","2"
"2017","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","12.28","","","","2"
"2018","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","13.03","","","","2"
"2019","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","13.50","","","","2"
"2020","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","25.11","","","","2"
"2021","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","25.92","","","","2"
"2022","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","23.79","","","","2"
"2023","Vancouver, British Columbia","2011S0503933","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068534","27.5.1","20.80","","","","2"
"2017","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","1.18","","","","2"
"2018","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","1.46","","","","2"
"2019","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","1.63","","","","2"
"2020","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","2.16","","","","2"
"2021","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","2.35","","","","2"
"2022","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","2.51","","","","2"
"2023","Victoria, British Columbia","2011S0503935","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068535","28.5.1","2.63","","","","2"


